Product Description,Vietnamese,Item #,Category,Unit Price,Packaging,Origin,Method,Weight (lbs),Pack,Pack Type,Case price
FEATHERBACK FISH W/R LRG (33),CA THAC LAC/ NANG HAI,F0101,FEATHERBACK,$3.80 ,1 X 33 LB,VIETNAM,WILD,33,VP,Bulk,125.4
FEATHERBACK PASTE (10x5#),CHA CA THAC LAC,F0107,FEATHERBACK,$3.80 ,10 X 5 LB,VIETNAM,WILD,50,VP,Bulk,190
FEATHERBACK PASTE (40),CHA CA THAC LAC,F0108,FEATHERBACK,$4.00 ,40 X 14 OZ,VIETNAM,WILD,35,VP,Retail,160
RED TAIL FUSILIER 100/200 (30),CA DO CU,F0545,FUSILIER,OOS,30 X 16 OZ,VIETNAM,WILD,30,VP,Retail,#N/A
YLWTAIL FUSILIER 200/300 (30),CA TRAM BI,F0670,FUSILIER,OOS,15 X 2 LB,VIETNAM,WILD,30,VP,Retail,#N/A
YLWTAIL FUSILIER 300/500 (30),CA TRAM BI,F0671,FUSILIER,OOS,15 X 2 LB,VIETNAM,WILD,30,VP,Retail,#N/A
YLWTAIL FUSILIER 500/800,CA TRAM BI,F0672,FUSILIER,OOS,15 X 2 LB,VIETNAM,WILD,30,VP,Retail,#N/A
GOBY FISH (30x14),CA KEO,F0080,GOBY,$3.90 ,30 X 14 OZ,MYANMAR,WILD,26.25,VP,Retail,117
MARBLE GOBY FISH (60),CA BONG TRUNG,F0491,GOBY,$2.00 ,60 X 7 OZ,VIETNAM,WILD,26.25,VP,Retail,120
MARBLE SLEEPER GOBY FISH (30),CA BONG TUONG,F0495,GOBY,$4.10 ,15 X 2 LB,VIETNAM,WILD,30,VP,Retail,123
SAND GOBY W/R 70/120g (30),CA BONG CAT NGUYEN CON,F0471,GOBY,$3.90 ,30 X 14 OZ,VIETNAM,WILD,26.25,VP,Retail,117
SPOTTED GROUPER 500/800,CA MU SAO,F0596,GROUPER,$5.70 ,1 X 33 LB,VIETNAM,WILD,33,VP,Bulk,188.1
HILSA FISH 800/1000g,CA CHAY,F0222,HILSA,OOS,1 X 33 LB,MYANMAR,WILD,,VP,Bulk,#N/A
HILSA FISH 1000/1200g,CA CHAY,F0223,HILSA,$9.80 ,1 X 33 LB,MYANMAR,WILD,33,VP,Bulk,323.4
HILSA FISH 1200/1500g,CA CHAY,F0224,HILSA,$10.50 ,1 X 33 LB,MYANMAR,WILD,33,VP,Bulk,346.5
HILSA FISH 1500/1800g,CA CHAY,F0225,HILSA,$12.50 ,1 X 33 LB,MYANMAR,WILD,33,VP,Bulk,412.5
HILSA FISH 400/600 (30),CA CHAY,F0220,HILSA,$7.70 ,15 X 2 LB,MYANMAR,WILD,30,VP,Bulk,231
HILSA FISH 500/800,CA CHAY,F0221,HILSA,$8.00 ,1 X 33 LB,MYANMAR,WILD,33,VP,Bulk,264
SILVER / ICE  FISH 3/5 (44),CA COM SUA,F0380,ICE FISH,$4.65 ,20 X 2.2#,CHINA,WILD,44,Box,Retail,204.6
SILVER / ICE FISH 3/5 (60x8),CA COM SUA,F0384,ICE FISH,$3.40 ,60 X 8 OZ,CHINA,WILD,30,Box,Retail,204
JACK CREVALLE 1-2 (25),CA JACK,F0350,JACK FISH,$1.60 ,1 X 25 LB,MEXICO,WILD,25,Bulk,Bulk,40
